Model,Avg Accuracy,Avg Macro F1,Top-3 Accuracy,Exact Match,Latency (ms)
Majority Baseline,0.42628087386822827,0.07927692465823664,0.7344469174752037,0.009529571925578581,0.0005647709000186296
Frozen CLIP + Heads (V1),0.8335026038852995,0.6568447666058456,0.9711087581303888,0.27938284677053393,6.226557110003341
AutoCatalogAI V2,0.8747758065561727,0.6740687827687263,0.981502690321326,0.4046286492209953,7.4737231199719645
